symbol,baseAsset,quoteAsset,openPrice,lowPrice,highPrice,lastPrice,volume,bidPrice,askPrice,at
rsrinr,rsr,inr,0.50976,0.48,0.51543,0.48034,251295.6,0.48039,0.50048,1719240918000
cosinr,cos,inr,0.7732,0.7302,0.7758,0.74,323945.9,0.74,0.75,1719240918000
avainr,ava,inr,60.944,60.942,60.944,60.942,22.509999999999998,60.942,60.95,1719240918000
bandinr,band,inr,101.7108,95.8397,101.7108,95.8397,171.42999999999998,96.5107,105.9376,1719240918000
pendleinr,pendle,inr,527.589,499.0,564.992,509.744,348.30000000000007,510.28,524.904,1719240918000
loominr,loom,inr,5.2,4.9501,5.2,5.1658,8361,4.9516,5.1986,1719240918000
wldinr,wld,inr,270,253.17871,289.50166,259.74101,925.5455999999999,259.74101,273.93992,1719240918000
quickinr,quick,inr,4.299,3.79,4.299,3.79,27300,3.79,3.9999,1719240918000
vibinr,vib,inr,7.22,6.5199,7.22,7.1975,2941,6.5001,7.1766,1719240918000
maskinr,mask,inr,238.88,221.0,239.99,221.0,101.60000000000001,220.1,238.99,1719240918000
adxinr,adx,inr,15.54,15.39,15.55,15.52,12963,15.03,15.51,1719240918000
blzinr,blz,inr,20.1511,20.0005,21.2816,20.5,19581,20.0008,21.2,1719240918000
pundixinr,pundix,inr,37.848,33.13,37.848,33.261,844.27,33.232,37.232,1719240918000
sklinr,skl,inr,5.2475,4.6,5.2475,4.6,3733,4.55,4.6,1719240918000
clvinr,clv,inr,4.455,4.3,4.9123,4.726,37065.2,4.212,4.7048,1719240918000
stmxinr,stmx,inr,0.424,0.40007,0.4457,0.4146,414921,0.4146,0.415,1719240918000
audioinr,audio,inr,14.232,13.09,14.3,13.578,6755.4,13.409,14.785,1719240918000
glminr,glm,inr,34.546,31.002,35.903,31.002,234,31.002,35.75,1719240918000
mtlinr,mtl,inr,117.962,107.0,143.0,132.349,5872.660000000001,132.349,135.0,1719240918000
storjinr,storj,inr,35.9999,32.426,35.9999,32.426,508,32.3653,34.1595,1719240918000
perpinr,perp,inr,69.0138,68.0,77.8999,68.0,777.4200000000001,67.0,76.0,1719240918000
dexeinr,dexe,inr,1006.81,996.3,1122.0,1122.0,15.280000000000001,996.6,1122.0,1719240918000
bigtimeinr,bigtime,inr,11.59,10.002,11.59,10.0081,3187.7229000000007,10.1,10.9999,1719240918000
memeinr,meme,inr,1.77444,1.66035,1.78622,1.78622,144861,1.74124,1.78198,1719240918000
tokeninr,token,inr,7.5,7.0,7.6093,7.4,67965,7.0463,7.5,1719240918000
vicinr,vic,inr,31.2,31.2,33.8,32.0,112.7,32.0,33.8,1719240918000
beamxinr,beamx,inr,1.49,1.42001,1.55,1.52969,29997,1.52969,1.52985,1719240918000
bonkinr,bonk,inr,0.0019205,0.00175,0.0019717,0.0018534,781702675,0.0018533,0.0018722,1719240918000
jtoinr,jto,inr,234.804,205.0,234.804,205.0,704.8,210.0,228.997,1719240918000
degoinr,dego,inr,177.99,177.99,178.06,178.06,29.83,160.14,178.06,1719240918000
htxinr,htx,inr,0.00010378,0.00010111,0.00010893,0.00010378,897297536,0.00010378,0.0001058,1719240918000
pixelinr,pixel,inr,25.943,24.0,26.4,25.199,47330.700000000004,24.198,25.199,1719240918000
toninr,ton,inr,699.8,653.783,712.0,676.999,424.8,657.982,677.0,1719240918000
suiinr,sui,inr,84.96,76.973,84.961,81.209,1161.0999999999997,78.907,80.07,1719240918000
pythinr,pyth,inr,29.5,27.515,30.999,30.349,34069.200000000004,29.127,30.349,1719240918000
kasinr,kas,inr,14.21,13.3042,14.21,13.6802,6464.700000000002,13.5424,13.6806,1719240918000
wifinr,wif,inr,153.899,138.514,159.993,158.311,11086.399999999996,152.549,158.299,1719240918000
bomeinr,bome,inr,0.82249,0.7548,0.82249,0.75667,844142,0.75667,0.77804,1719240918000
bcutinr,bcut,inr,5.6498,5.2188,5.6893,5.478,15653.4,5.2857,5.4773,1719240918000
ethfiinr,ethfi,inr,309,290.0,329.99,315.0,283.69999999999993,291.1,315.0,1719240918000
nakainr,naka,inr,101.05,90.0,111.98,96.0,1735.0999999999997,96.0,102.99,1719240918000
enainr,ena,inr,56.5,50.0,56.5,54.0,5049.03,50.57,53.999,1719240918000
ondoinr,ondo,inr,111.9989,99.0,111.9999,103.9999,5423.979999999998,101.5,103.9999,1719240918000
omniinr,omni,inr,1230.12,1149.48,1306.4,1305.4,135.91999999999996,1250.0,1304.82,1719240918000
rvninr,rvn,inr,1.84,1.75,1.95,1.8199,27561,1.7501,1.82,1719240918000
mewinr,mew,inr,0.35304,0.32,0.36,0.3222,2273975.2200000007,0.32015,0.32316,1719240918000
qtuminr,qtum,inr,230.5,225.0,230.7,225.0,7.127999999999999,220.0,224.0,1719240918000
notinr,not,inr,1.374484,1.2,1.374484,1.309999,950294,1.25,1.309999,1719240918000
minainr,mina,inr,65,47.1,65.0,51.84,2930.2,47.11,51.84,1719240918000
ltcinr,ltc,inr,6677.62,6232.32,6789.01,6232.32,141.52699999999996,6232.32,6307.55,1719240918000
dashinr,dash,inr,2202,2100.0,2360.0,2100.0,68.82399999999998,2051.0,2358.0,1719240918000
xrpbtc,xrp,btc,0.00000783,0.00000612,0.0000079,0.00000787,300.6,0.00000638,0.00000788,1719240918000
trxbtc,trx,btc,0.00000184,0.00000168,0.0000019,0.00000168,2911,0.00000165,0.00000192,1719240918000
ethbtc,eth,btc,0.054816,0.050134,0.054816,0.050174,0.05740000000000001,0.050184,0.054803,1719240918000
zilbtc,zil,btc,3.8e-7,0.00000038,0.00000038,0.00000038,0,0.00000028,0.00000046,1719240918000
batbtc,bat,btc,0.00000281,0.00000281,0.00000382,0.00000382,65.44,0.00000275,0.00000382,1719240918000
ltcbtc,ltc,btc,0.0011,0.0011,0.0011,0.0011,0,0.001101,0.001341,1719240918000
qkcbtc,qkc,btc,1.2e-7,0.00000012,0.00000012,0.00000012,0,0.00000011,0.00000015,1719240918000
dashbtc,dash,btc,0.0004,0.0004,0.0004,0.0004,0,0.000289,0.000547,1719240918000
iostbtc,iost,btc,1e-7,0.00000009,0.0000001,0.00000009,2396,0.00000005,0.00000013,1719240918000
nulsbtc,nuls,btc,0.000006,0.000006,0.000006,0.000006,0,0.00000429,0.00000866,1719240918000
omgbtc,omg,btc,0.000006,0.000006,0.000006,0.000006,0,0.000005,0.000007,1719240918000
reqbtc,req,btc,0.0000025,0.0000025,0.0000025,0.0000025,0,0.0000016,0.00000297,1719240918000
sntbtc,snt,btc,5.6e-7,0.00000056,0.00000056,0.00000056,0,0.00000035,0.00000054,1719240918000
thetabtc,theta,btc,0.00001556,0.00001556,0.00001556,0.00001556,0,0.00001559,0.00003878,1719240918000
zrxbtc,zrx,btc,0.0000059,0.0000059,0.0000059,0.0000059,0,0.0000017,0.00000879,1719240918000
eosbtc,eos,btc,0.0000138,0.0000138,0.0000138,0.0000138,0,0.0000131,0.0000186,1719240918000
icxbtc,icx,btc,0.0000014,0.0000014,0.0000014,0.0000014,0,0.0000019,0.0000034,1719240918000
fetbtc,fet,btc,0.00002488,0.00002488,0.00002488,0.00002488,0,0.00001754,0.0000305,1719240918000
celrbtc,celr,btc,1.9e-7,0.00000019,0.00000021,0.00000021,1256,0.00000025,0.00000044,1719240918000
maticbtc,matic,btc,0.00000991,0.00000121,0.00000991,0.00000991,440.4,0.00000261,0.00000959,1719240918000
adabtc,ada,btc,0.0000051,0.0000051,0.00000515,0.00000515,23.6,0.00000515,0.00000679,1719240918000
rvnbtc,rvn,btc,3.1e-7,0.00000031,0.00000031,0.00000031,0,0.00000016,0.00000035,1719240918000
xmrbtc,xmr,btc,0.001319,0.001319,0.001319,0.001319,0,0.00136,0.002911,1719240918000
atombtc,atom,btc,0.0001011,0.0001011,0.0001011,0.0001011,0,0.0000617,0.0001401,1719240918000
bnbbtc,bnb,btc,0.0070818,0.0070818,0.0070818,0.0070818,0,0.0089001,0.0104338,1719240918000
wrxbtc,wrx,btc,0.00000269,0.00000207,0.00000269,0.00000207,61.8,0.00000213,0.00000266,1719240918000
stmxbtc,stmx,btc,7e-8,0.00000007,0.00000007,0.00000007,0,0.00000006,0.00000008,1719240918000
btcusdt,btc,usdt,64388,60777.0,64388.0,61338.0,0.5676400000000001,61201.0,61309.0,1719240918000
trxusdt,trx,usdt,0.11989,0.11613,0.12199,0.11807,132743,0.11807,0.12197,1719240918000
xrpusdt,xrp,usdt,0.50918,0.46801,0.50929,0.50322,2861.9000000000005,0.47001,0.50307,1719240918000
eosusdt,eos,usdt,0.98,0.98,0.98,0.98,0,0.81,0.9799,1719240918000
ethusdt,eth,usdt,3497.58,3240.0,3497.58,3313.39,3.3691999999999993,3291.56,3304.61,1719240918000
icxusdt,icx,usdt,0.1527,0.1459,0.1527,0.1459,3455.2400000000002,0.1486,0.1518,1719240918000
ltcusdt,ltc,usdt,75.99,70.0,75.99,75.98,2.6,67.02,75.92,1719240918000
hotusdt,hot,usdt,0.0018156,0.0017231,0.0018156,0.0017999,79041,0.001625,0.0017999,1719240918000
batusdt,bat,usdt,0.236,0.1623,0.236,0.2234,1547.8599999999997,0.165,0.2209,1719240918000
dashusdt,dash,usdt,24.41,22.69,24.41,22.69,62.72200000000001,22.32,22.76,1719240918000
qkcusdt,qkc,usdt,0.00976,0.00722,0.00976,0.00974,957,0.00722,0.00973,1719240918000
zilusdt,zil,usdt,0.024,0.02161,0.02404,0.024,1596,0.0216,0.02398,1719240919000
zrxusdt,zrx,usdt,0.409,0.341,0.409,0.3937,1026.98,0.341,0.3937,1719240919000
bchusdt,bch,usdt,389.31,351.43,389.31,352.78,10.829200000000002,350.95,357.11,1719240919000
bchsvusdt,bchsv,usdt,50.53,50.53,50.55,50.55,0.08,50.57,59.99,1719240919000
omgusdt,omg,usdt,0.4069,0.4,0.407,0.4,25,0.301,0.404,1719240919000
dentusdt,dent,usdt,0.000918,0.000852,0.001143,0.000852,184335,0.000851,0.001101,1719240919000
iostusdt,iost,usdt,0.00683,0.00634,0.00683,0.00634,31933,0.00633,0.00647,1719240919000
funusdt,fun,usdt,0.004645,0.00351,0.004645,0.0036,375927,0.00351,0.004399,1719240919000
sntusdt,snt,usdt,0.026,0.026,0.0343,0.0343,429,0.02517,0.03418,1719240919000
thetausdt,theta,usdt,1.5439,1.4655,1.5439,1.5027,164.79999999999998,1.4926,1.5144,1719240919000
requsdt,req,usdt,0.11,0.10242,0.12,0.11,224,0.11,0.12,1719240919000
xlmusdt,xlm,usdt,0.092,0.08615,0.09335,0.08615,13023.600000000002,0.08613,0.087,1719240919000
xtzusdt,xtz,usdt,0.789,0.757,0.789,0.757,112.1,0.756,0.776,1719240919000
fetusdt,fet,usdt,1.3904,1.3804,1.5992,1.5992,17,1.3805,1.5148,1719240919000
tfuelusdt,tfuel,usdt,0.07514,0.069,0.07593,0.07092,23495,0.06995,0.07111,1719240919000
celrusdt,celr,usdt,0.01632,0.01498,0.01632,0.01498,11330,0.01554,0.01585,1719240919000
maticusdt,matic,usdt,0.58895,0.54355,0.58896,0.57922,2139.6000000000004,0.54,0.57922,1719240919000
adausdt,ada,usdt,0.3843,0.3699,0.3879,0.3766,25888.100000000002,0.3723,0.3766,1719240919000
