symbol,date,predicted_price
filusdt,2024-06-22,4.369
filusdt,2024-06-23,4.369
crvusdt,2024-06-22,0.35
crvusdt,2024-06-23,0.35
nearusdt,2024-06-22,5.2002
nearusdt,2024-06-23,5.2002
hntusdt,2024-06-22,3.353
hntusdt,2024-06-23,3.353
avaxusdt,2024-06-22,27.606
avaxusdt,2024-06-23,27.606
oxtusdt,2024-06-22,0.0826
oxtusdt,2024-06-23,0.0826
dockusdt,2024-06-22,0.0204
dockusdt,2024-06-23,0.0204
duskusdt,2024-06-22,0.3099
duskusdt,2024-06-23,0.3099
injusdt,2024-06-22,23.9998
injusdt,2024-06-23,23.9998
vetusdt,2024-06-22,0.0264
vetusdt,2024-06-23,0.0264
mtlusdt,2024-06-22,1.1572
mtlusdt,2024-06-23,1.1572
frontusdt,2024-06-22,0.9105
frontusdt,2024-06-23,0.9105
glmusdt,2024-06-22,0.35
glmusdt,2024-06-23,0.35
sushiusdt,2024-06-22,0.828
sushiusdt,2024-06-23,0.828
firousdt,2024-06-22,1.48
firousdt,2024-06-23,1.48
dexeusdt,2024-06-22,12.85
dexeusdt,2024-06-23,12.85
grtusdt,2024-06-22,0.2159
grtusdt,2024-06-23,0.2159
bntusdt,2024-06-22,0.656
bntusdt,2024-06-23,0.656
rsrusdt,2024-06-22,0.005
rsrusdt,2024-06-23,0.005
1inchusdt,2024-06-22,0.4799
1inchusdt,2024-06-23,0.4799
uftusdt,2024-06-22,0.2702
uftusdt,2024-06-23,0.2702
pundixusdt,2024-06-22,0.37
pundixusdt,2024-06-23,0.37
ckbusdt,2024-06-22,0.011162
ckbusdt,2024-06-23,0.011162
vibusdt,2024-06-22,0.08
vibusdt,2024-06-23,0.08
tkousdt,2024-06-22,0.355
tkousdt,2024-06-23,0.355
pushusdt,2024-06-22,0.1613
pushusdt,2024-06-23,0.1613
cvcusdt,2024-06-22,0.10124
cvcusdt,2024-06-23,0.10124
cakeusdt,2024-06-22,2.186
cakeusdt,2024-06-23,2.186
kmdusdt,2024-06-22,0.3495
kmdusdt,2024-06-23,0.3495
solusdt,2024-06-22,128.797
solusdt,2024-06-23,128.797
shibusdt,2024-06-22,1.777e-05
shibusdt,2024-06-23,1.777e-05
rlcusdt,2024-06-22,2.1558
rlcusdt,2024-06-23,2.1558
reefusdt,2024-06-22,0.001496
reefusdt,2024-06-23,0.001496
icpusdt,2024-06-22,8.367
icpusdt,2024-06-23,8.367
ontusdt,2024-06-22,0.211
ontusdt,2024-06-23,0.211
xvsusdt,2024-06-22,6.5
xvsusdt,2024-06-23,6.5
viteusdt,2024-06-22,0.01675
viteusdt,2024-06-23,0.01675
dcrusdt,2024-06-22,15.19
dcrusdt,2024-06-23,15.19
mdxusdt,2024-06-22,0.0449
mdxusdt,2024-06-23,0.0449
phausdt,2024-06-22,0.1373
phausdt,2024-06-23,0.1373
runeusdt,2024-06-22,4.233
runeusdt,2024-06-23,4.233
nknusdt,2024-06-22,0.0811
nknusdt,2024-06-23,0.0811
axsusdt,2024-06-22,6.091
axsusdt,2024-06-23,6.091
alphausdt,2024-06-22,0.0849
alphausdt,2024-06-23,0.0849
aliceusdt,2024-06-22,1.0309
aliceusdt,2024-06-23,1.0309
klayusdt,2024-06-22,0.1867
klayusdt,2024-06-23,0.1867
xecusdt,2024-06-22,3.082e-05
xecusdt,2024-06-23,3.082e-05
perpusdt,2024-06-22,0.68706
perpusdt,2024-06-23,0.68706
qntusdt,2024-06-22,76.6
qntusdt,2024-06-23,76.6
flowusdt,2024-06-22,1.0
flowusdt,2024-06-23,1.0
vgxusdt,2024-06-22,0.075
vgxusdt,2024-06-23,0.075
arusdt,2024-06-22,26.371
arusdt,2024-06-23,26.371
dodousdt,2024-06-22,0.14
dodousdt,2024-06-23,0.14
minausdt,2024-06-22,0.561
minausdt,2024-06-23,0.561
clvusdt,2024-06-22,0.06
clvusdt,2024-06-23,0.06
bakeusdt,2024-06-22,0.3127
bakeusdt,2024-06-23,0.3127
alpacausdt,2024-06-22,0.146
alpacausdt,2024-06-23,0.146
gnousdt,2024-06-22,341.9
gnousdt,2024-06-23,341.9
tlmusdt,2024-06-22,0.01278
tlmusdt,2024-06-23,0.01278
audiousdt,2024-06-22,0.1896
